SST(°C) mean stdv
-1.000000 0.067601 0.083286
-0.990000 0.067910 0.083289
-0.980000 0.068219 0.083293
-0.970000 0.068528 0.083296
-0.960000 0.068838 0.083300
-0.950000 0.069147 0.083303
-0.940000 0.069457 0.083307
-0.930000 0.069767 0.083311
-0.920000 0.070077 0.083314
-0.910000 0.070387 0.083318
-0.900000 0.070697 0.083322
-0.890000 0.071008 0.083326
-0.880000 0.071318 0.083329
-0.870000 0.071629 0.083333
-0.860000 0.071940 0.083337
-0.850000 0.072251 0.083341
-0.840000 0.072562 0.083345
-0.830000 0.072874 0.083349
-0.820000 0.073185 0.083353
-0.810000 0.073497 0.083357
-0.800000 0.073809 0.083362
-0.790000 0.074121 0.083366
-0.780000 0.074433 0.083370
-0.770000 0.074745 0.083374
-0.760000 0.075058 0.083379
-0.750000 0.075370 0.083383
-0.740000 0.075683 0.083387
-0.730000 0.075996 0.083392
-0.720000 0.076309 0.083396
-0.710000 0.076622 0.083401
-0.700000 0.076935 0.083405
-0.690000 0.077249 0.083410
-0.680000 0.077563 0.083414
-0.670000 0.077876 0.083419
-0.660000 0.078190 0.083424
-0.650000 0.078504 0.083428
-0.640000 0.078818 0.083433
-0.630000 0.079133 0.083438
-0.620000 0.079447 0.083443
-0.610000 0.079762 0.083448
-0.600000 0.080077 0.083452
-0.590000 0.080392 0.083457
-0.580000 0.080707 0.083462
-0.570000 0.081022 0.083467
-0.560000 0.081337 0.083472
-0.550000 0.081653 0.083477
-0.540000 0.081968 0.083483
-0.530000 0.082284 0.083488
-0.520000 0.082600 0.083493
-0.510000 0.082916 0.083498
-0.500000 0.083232 0.083503
-0.490000 0.083549 0.083509
-0.480000 0.083865 0.083514
-0.470000 0.084182 0.083519
-0.460000 0.084499 0.083525
-0.450000 0.084816 0.083530
-0.440000 0.085133 0.083535
-0.430000 0.085450 0.083541
-0.420000 0.085767 0.083546
-0.410000 0.086085 0.083552
-0.400000 0.086402 0.083558
-0.390000 0.086720 0.083563
-0.380000 0.087038 0.083569
-0.370000 0.087356 0.083575
-0.360000 0.087674 0.083580
